model,data,k,n_epochs,cnn_epochs,cnn_bs,cnn_lr,lambda_u,lambda_v,emb_dim,max_len,num_filters,hidden_dim,dropout_rate,MAE,MSE,RMSE,AUC,F1,MAP,MRR,NCRR,NDCG,Precision,Recall,category diversity
Conv_mf,movielens-100K,10,10,5,128,0.001,1,100,200,300,100,200,0.2,0.7229,0.8566,0.9255,0.7143,0.0459,0.0394,0.108,0.0446,0.0678,0.0354,0.1065,0.1428636010152126
Conv_mf,movielens-100K,50,5,5,128,0.001,1,100,200,300,100,200,0.2,0.7176,0.8309,0.9115,0.727,0.0552,0.0451,0.1446,0.0598,0.0854,0.0421,0.1313,0.1114737629826703
Conv_mf,movielens-100K,100,5,5,128,0.001,1,100,200,300,100,200,0.2,0.7189,0.8314,0.9118,0.7059,0.0502,0.0436,0.1448,0.0585,0.0793,0.0385,0.1167,0.08162838498246652
Conv_mf,movielens-100K,200,5,5,128,0.001,1,100,200,300,100,200,0.2,0.7188,0.8283,0.9101,0.6899,0.0549,0.0452,0.1577,0.0647,0.086,0.0424,0.1241,0.11500040144678372
Conv_mf,movielens-100K,300,5,5,128,0.001,1,100,200,300,100,200,0.2,0.721,0.8329,0.9126,0.6811,0.0595,0.0462,0.1554,0.0657,0.0902,0.046,0.1314,0.09263514665584949
Conv_mf,movielens-100K,400,5,5,128,0.001,1,100,200,300,100,200,0.2,0.7228,0.8342,0.9134,0.6791,0.0616,0.0481,0.1686,0.0703,0.0945,0.0474,0.1381,0.09856911314472071
Conv_mf,movielens-100K,300,5,5,128,0.001,10,100,200,300,100,200,0.2,0.7673,0.9256,0.9621,0.7381,0.0613,0.0496,0.1656,0.0698,0.0937,0.0477,0.134,0.08902311640355927
Conv_mf,movielens-100K,300,5,5,128,0.001,100,100,200,300,100,200,0.2,0.9365,1.3716,1.1712,0.8036,0.0704,0.0622,0.1833,0.0832,0.1128,0.0539,0.1646,0.08623593451790096
Conv_mf,movielens-100K,300,5,5,128,0.001,1000,100,200,300,100,200,0.2,1.7119,4.0162,2.004,0.8075,0.0709,0.0632,0.2032,0.0893,0.1085,0.0566,0.143,0.04046200631333374
Conv_mf,movielens-100K,300,5,5,128,0.001,1,10,200,300,100,200,0.2,0.7442,0.8864,0.9415,0.6665,0.0344,0.0302,0.0808,0.0287,0.049,0.0261,0.0874,0.09674799927711683
Conv_mf,movielens-100K,300,5,5,128,0.001,1,1,200,300,100,200,0.2,0.8557,1.1613,1.0777,0.5763,0.0188,0.0213,0.0528,0.0155,0.0247,0.0148,0.0423,0.10896583789169488
Conv_mf,movielens-100K,300,5,5,128,0.001,1,1000,200,300,100,200,0.2,0.7848,0.9628,0.9812,0.6521,0.0672,0.0536,0.2206,0.0907,0.1077,0.0526,0.1432,0.09636677186979765
Conv_mf,movielens-100K,300,5,5,128,0.001,100,10,200,300,100,200,0.2,0.784,0.9832,0.9916,0.7419,0.0487,0.0374,0.071,0.0324,0.0659,0.0369,0.116,0.12052259459972928
Conv_mf,movielens-100K,300,5,5,128,0.001,10,100,200,300,100,200,0.2,0.7673,0.9256,0.9621,0.7381,0.0613,0.0496,0.1656,0.0698,0.0937,0.0477,0.134,0.0893269468450629
