model,data,k,max_iter,grad_iter,lambda_text,l2_reg,MAE,MSE,RMSE,AUC,F1,MAP,MRR,NCRR,NDCG,Precision,Recall,category diversity
HFT,amazon clothing,10,10,5,0.01,0.001,0.7492,1.2143,1.102,0.5053,0.0003,0.002,0.0024,0.0009,0.0021,0.0002,0.0075,0
HFT,amazon clothing,50,10,5,0.01,0.001,0.7426,1.1828,1.0876,0.5061,0.0004,0.0019,0.0024,0.0009,0.0022,0.0002,0.0083,0
HFT,amazon clothing,100,10,5,0.01,0.001,0.7508,1.2095,1.0998,0.5035,0.0003,0.002,0.0024,0.0009,0.0019,0.0001,0.0062,0
HFT,amazon clothing,200,10,5,0.01,0.001,0.7359,1.1497,1.0723,0.5071,0.0003,0.0019,0.0024,0.0008,0.002,0.0002,0.0072,0
HFT,amazon clothing,300,10,5,0.01,0.001,0.7391,1.1584,1.0763,0.5036,0.0003,0.0019,0.0024,0.0009,0.002,0.0002,0.007,0
HFT,amazon clothing,50,10,5,0.1,0.001,0.7482,1.1211,1.0588,0.511,0.0003,0.0021,0.0025,0.0009,0.0018,0.0001,0.0059,0
HFT,amazon clothing,50,10,5,1.0,0.001,0.814,1.3782,1.1739,0.5359,0.0022,0.0069,0.0078,0.0054,0.0135,0.0011,0.0469,0
HFT,amazon clothing,50,10,5,0.1,0.01,0.752,1.1127,1.0549,0.5113,0.0003,0.0021,0.0024,0.0009,0.0018,0.0001,0.0064,0
HFT,amazon clothing,50,10,5,0.1,0.1,0.7397,1.1815,1.087,0.5096,0.0004,0.002,0.0024,0.0009,0.0021,0.0002,0.008,0
HFT,amazon clothing,50,10,5,0.1,1.0,0.7459,1.1147,1.0558,0.5119,0.0003,0.0021,0.0024,0.0009,0.0019,0.0001,0.0064,0
