model,data,k,max_iter,grad_iter,lambda_text,l2_reg,MAE,MSE,RMSE,AUC,F1,MAP,MRR,NCRR,NDCG,Precision,Recall,category diversity
HFT,amazon digital music,10,10,5,0.01,0.001,0.6584,0.8729,0.9343,0.4788,0.0014,0.0029,0.0058,0.0019,0.004,0.0008,0.0107,0
HFT,amazon digital music,50,10,5,0.01,0.001,0.6674,0.8857,0.9411,0.476,0.0015,0.0026,0.0053,0.0016,0.0042,0.0008,0.0127,0
HFT,amazon digital music,100,10,5,0.01,0.001,0.655,0.8644,0.9298,0.4846,0.0026,0.0046,0.0097,0.0042,0.0089,0.0015,0.0237,0
HFT,amazon digital music,200,10,5,0.01,0.001,0.6562,0.8598,0.9272,0.4848,0.0021,0.0033,0.0064,0.0023,0.0061,0.0012,0.0179,0
HFT,amazon digital music,300,10,5,0.01,0.001,0.6605,0.8677,0.9315,0.4772,0.0012,0.0024,0.0045,0.0012,0.0033,0.0007,0.0096,0
HFT,amazon digital music,100,10,5,0.1,0.001,0.6564,0.8624,0.9286,0.4836,0.002,0.0031,0.0061,0.0021,0.0057,0.0011,0.0174,0
HFT,amazon digital music,100,10,5,1.0,0.001,0.7124,0.9015,0.9495,0.5029,0.0052,0.0079,0.0177,0.0083,0.0175,0.0029,0.048,0
HFT,amazon digital music,100,10,5,10.0,0.001,0.6636,1.1292,1.0627,0.4909,0.0034,0.0057,0.011,0.0052,0.0122,0.0019,0.0353,0
HFT,amazon digital music,100,10,5,1.0,0.01,0.7125,0.9006,0.949,0.5028,0.0052,0.0078,0.0177,0.0083,0.0175,0.0029,0.0481,0
HFT,amazon digital music,100,10,5,1.0,0.1,0.7135,0.9046,0.9511,0.5033,0.0053,0.008,0.0179,0.0085,0.018,0.003,0.0497,0
