model,data,k,topk,max_iter,grad_iter,lambda_text,l2_reg,MAE,MSE,RMSE,AUC,F1,MAP,MRR,NCRR,NDCG,Precision,Recall,category diversity
HFT,citeulike,10,50,10,5,0.01,0.001,0.0,0.0,0.0,0.4922,0.006,0.0076,0.0318,0.0138,0.0191,0.0036,0.0318,0
HFT,citeulike,50,50,10,5,0.01,0.001,0.0,0.0,0.0,0.4968,0.0019,0.0027,0.0125,0.0046,0.006,0.0011,0.01,0
HFT,citeulike,100,50,10,5,0.01,0.001,0.0,0.0,0.0,0.5019,0.0013,0.002,0.0071,0.0026,0.0039,0.0008,0.0073,0
HFT,citeulike,200,50,10,5,0.01,0.001,0.0,0.0,0.0,0.4948,0.0017,0.0067,0.0193,0.0097,0.0099,0.001,0.0112,0
HFT,citeulike,300,50,10,5,0.01,0.001,0.0,0.0,0.0,0.5004,0.0038,0.007,0.0304,0.0127,0.0151,0.0023,0.0224,0
HFT,citeulike,10,50,10,5,0.1,0.001,0.0,0.0,0.0,0.4987,0.0016,0.0055,0.0208,0.009,0.0088,0.001,0.0099,0
HFT,citeulike,10,50,10,5,1.0,0.001,0.0,0.0,0.0,0.5024,0.0006,0.0009,0.0028,0.0006,0.0011,0.0004,0.0024,0
HFT,citeulike,10,50,10,5,0.1,0.01,0.0,0.0,0.0,0.496,0.0015,0.0047,0.0185,0.0077,0.0076,0.0009,0.009,0
HFT,citeulike,10,50,10,5,0.1,0.1,0.0,0.0,0.0,0.4977,0.0016,0.0057,0.0214,0.0094,0.0092,0.0009,0.0102,0
HFT,citeulike,10,50,10,5,0.1,1.0,0.0,0.0,0.0,0.4933,0.0016,0.006,0.0222,0.0098,0.0095,0.001,0.0103,0
